"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Month","Value","Flag Codes"
"TUR","CPI","TOT","AGRWTH","M","1956-01",17.69912,
"TUR","CPI","TOT","AGRWTH","M","1956-02",22.12389,
"TUR","CPI","TOT","AGRWTH","M","1956-03",22.32143,
"TUR","CPI","TOT","AGRWTH","M","1956-04",23.21428,
"TUR","CPI","TOT","AGRWTH","M","1956-05",22.12389,
"TUR","CPI","TOT","AGRWTH","M","1956-06",17.94872,
"TUR","CPI","TOT","AGRWTH","M","1956-07",15,
"TUR","CPI","TOT","AGRWTH","M","1956-08",8.196721,
"TUR","CPI","TOT","AGRWTH","M","1956-09",8.196721,
"TUR","CPI","TOT","AGRWTH","M","1956-10",7.258065,
"TUR","CPI","TOT","AGRWTH","M","1956-11",7.03125,
"TUR","CPI","TOT","AGRWTH","M","1956-12",6.923077,
"TUR","CPI","TOT","AGRWTH","M","1957-01",5.263158,
"TUR","CPI","TOT","AGRWTH","M","1957-02",3.623188,
"TUR","CPI","TOT","AGRWTH","M","1957-03",5.109489,
"TUR","CPI","TOT","AGRWTH","M","1957-04",6.521739,
"TUR","CPI","TOT","AGRWTH","M","1957-05",7.971014,
"TUR","CPI","TOT","AGRWTH","M","1957-06",10.14493,
"TUR","CPI","TOT","AGRWTH","M","1957-07",12.31884,
"TUR","CPI","TOT","AGRWTH","M","1957-08",18.93939,
"TUR","CPI","TOT","AGRWTH","M","1957-09",20.45455,
"TUR","CPI","TOT","AGRWTH","M","1957-10",20.30075,
"TUR","CPI","TOT","AGRWTH","M","1957-11",16.05839,
"TUR","CPI","TOT","AGRWTH","M","1957-12",13.66906,
"TUR","CPI","TOT","AGRWTH","M","1958-01",12.14286,
"TUR","CPI","TOT","AGRWTH","M","1958-02",11.88811,
"TUR","CPI","TOT","AGRWTH","M","1958-03",11.11111,
"TUR","CPI","TOT","AGRWTH","M","1958-04",8.843537,
"TUR","CPI","TOT","AGRWTH","M","1958-05",8.053691,
"TUR","CPI","TOT","AGRWTH","M","1958-06",8.552631,
"TUR","CPI","TOT","AGRWTH","M","1958-07",8.387096,
"TUR","CPI","TOT","AGRWTH","M","1958-08",10.19108,
"TUR","CPI","TOT","AGRWTH","M","1958-09",12.57862,
"TUR","CPI","TOT","AGRWTH","M","1958-10",12.5,
"TUR","CPI","TOT","AGRWTH","M","1958-11",18.23899,
"TUR","CPI","TOT","AGRWTH","M","1958-12",25.31646,
"TUR","CPI","TOT","AGRWTH","M","1959-01",26.75159,
"TUR","CPI","TOT","AGRWTH","M","1959-02",28.125,
"TUR","CPI","TOT","AGRWTH","M","1959-03",29.375,
"TUR","CPI","TOT","AGRWTH","M","1959-04",29.375,
"TUR","CPI","TOT","AGRWTH","M","1959-05",28.57143,
"TUR","CPI","TOT","AGRWTH","M","1959-06",30.30303,
"TUR","CPI","TOT","AGRWTH","M","1959-07",32.14286,
"TUR","CPI","TOT","AGRWTH","M","1959-08",28.3237,
"TUR","CPI","TOT","AGRWTH","M","1959-09",23.46369,
